spectraname,teff,logg,doppler_shift,feh,vmic,vsini,vmac,C_Fe,O_Fe,Ba_Fe,Ca_Fe,Co_Fe,Eu_Fe,Mg_Fe,Mn_Fe,Sr_Fe,Ti_Fe,Y_Fe
6562.spec_hrs_snr1000.0.npy,5.89032,1.31271,-0.03359,-2.74065,1.74742,3.202,0,-0.54371,0.105,0.49813,0.108,1.0,1.20121,-0.05299,-0.29605,-0.22761,0.10221,-0.75
12583.spec_hrs_snr1000.0.npy,5.15399,1.14052,-0.02629,-0.60876,1.51917,12.24663,0,0.07824,0.24629,0.39467,0.08443,0.23508,-0.17918,0.07211,-0.34596,0.43855,0.48912,-0.4948
14330.spec_hrs_snr1000.0.npy,4.15649,0.86169,0.02408,-0.38217,1.13802,15.89603,0,-0.09172,0.46635,1.0,0.12924,0.65156,0.88249,0.58,0.33829,0.03632,0.54095,0.3813
5764.spec_hrs_snr1000.0.npy,7.38372,4.15241,0.02138,-2.69374,1.67338,2.51553,0,0.4222,-0.12653,-1.96795,0.56194,0.52497,1.25956,0.06341,0.00554,-0.05345,0.39075,-0.17325
12299.spec_hrs_snr1000.0.npy,7.13716,4.06131,-0.01447,-0.45642,1.07927,6.59954,0,1.19532,0.58813,0.11684,0.165,0.11325,-0.69699,-0.02676,-0.19924,-0.07758,0.2592,0.18199
12106.spec_hrs_snr1000.0.npy,5.96023,3.26271,-0.1,-0.61356,1.00606,54.39987,0,0.18219,1.2266,-0.03473,0.07092,0.10721,1.27979,0.0214,-0.33495,-0.29164,0.20526,-0.4563
16014.spec_hrs_snr1000.0.npy,5.5928,2.17804,-0.00284,-0.08947,1.30477,11.60271,0,0.33805,0.1644,1.0,-0.08631,0.52765,1.09825,-0.08198,0.1667,0.97663,0.36683,0.2735
18790.spec_hrs_snr1000.0.npy,6.61109,3.13926,0.03341,-0.01973,1.98354,2.82717,0,0.45626,-0.21329,0.01954,0.22326,0.00912,-0.22099,-0.10375,-0.0648,-0.1023,-0.28698,-0.06013
14820.spec_hrs_snr1000.0.npy,4.73791,2.72838,0.03716,-0.76176,1.266,22.67929,0,0.23036,0.47872,1.0,0.07076,1.0,2.0,-0.05029,-0.16819,1.0,0.6396,0.5
10887.spec_hrs_snr1000.0.npy,4.09141,4.79715,0.1,0.14932,0.50014,76.15104,0,-0.03692,0.00187,1.0,-0.0473,0.74901,2.0,-0.5,-0.32291,1.0,-0.10309,-0.06368
17544.spec_hrs_snr1000.0.npy,5.1538,3.55689,-0.01606,-1.376,1.46382,1.42806,0,-0.89147,0.17245,-0.22815,-0.03811,0.41774,0.25364,0.29907,-0.17843,0.05212,0.4825,-0.04716
6348.spec_hrs_snr1000.0.npy,6.56131,4.21774,-0.05603,-3.63372,1.12707,1.71932,0,0.43763,-0.48918,0.76444,0.51734,0.90819,2.0,-0.0672,-0.18612,-0.43898,0.22193,0.16679
11990.spec_hrs_snr1000.0.npy,5.0,3.01809,-0.00136,-0.07008,1.57422,1.42806,0,0.32173,0.0039,0.26263,0.04353,0.2349,-1.44862,0.30956,0.07012,-0.41182,0.10956,-0.13817
15488.spec_hrs_snr1000.0.npy,6.17855,1.8491,-0.09978,0.5,1.07994,91.38036,0,0.53315,-0.05791,0.30289,-0.02026,0.06682,0.32823,-0.5,-0.48554,-0.25662,-0.04792,0.31031
14460.spec_hrs_snr1000.0.npy,5.80094,3.01501,0.00502,-1.5684,1.68226,30.98313,0,-0.29107,0.98836,0.45893,0.03173,-0.0158,-1.5,0.26898,-0.70218,0.55215,-0.12691,0.29134
4993.spec_hrs_snr1000.0.npy,4.91561,3.92109,0.00896,-3.53726,0.77148,2.88315,0,-0.3069,-0.49996,-0.24426,0.27152,0.08127,0.65893,0.88172,-0.65231,-0.34067,0.7004,-0.75
19590.spec_hrs_snr1000.0.npy,5.0,3.08392,0.04057,-0.6017,0.81373,4.252,0,0.70704,0.31177,-0.0,0.18889,0.35026,1.31518,0.02247,-0.0741,0.0,0.34686,0.5
14824.spec_hrs_snr1000.0.npy,6.80577,2.0277,-0.00804,0.06722,2.07435,10.78941,0,0.11457,0.0859,0.26391,0.1339,0.17269,0.19278,0.1892,0.09535,-0.3024,-0.14465,0.05728
19386.spec_hrs_snr1000.0.npy,4.57061,4.49135,-0.05769,-1.10732,0.50849,1.7633,0,0.03258,0.13698,-0.78381,0.04977,0.20512,0.26786,0.38173,-0.0469,0.11692,0.81399,0.5
17932.spec_hrs_snr1000.0.npy,6.21678,2.76461,-0.00757,-0.38168,1.02514,9.55642,0,0.29929,-0.08193,0.21847,-0.06725,0.02561,0.3011,0.21763,-0.31276,-0.18366,0.09135,-0.1721
17718.spec_hrs_snr1000.0.npy,5.75913,2.67645,0.00075,0.35453,1.74402,6.87334,0,-0.03203,0.34247,0.35401,-0.21574,0.14215,0.54481,-0.22751,-0.13958,-0.13994,-0.02328,0.00234
9065.spec_hrs_snr1000.0.npy,5.8159,3.21986,-0.09985,-3.99981,0.50017,31.82915,0,0.53595,1.24972,-2.0,0.01293,1.0,-1.5,-0.5,0.5,-1.5,-0.5,-0.75
1054.spec_hrs_snr1000.0.npy,5.41846,3.17571,0.06045,-3.5014,1.79076,2.55393,0,1.35855,-0.49997,-0.66343,0.05501,-0.03255,-1.5,0.54161,0.13952,0.658,0.009,-0.42221
15711.spec_hrs_snr1000.0.npy,4.73503,4.17595,0.01198,0.01378,1.88756,12.85257,0,0.266,1.16461,0.08105,0.16847,0.11149,1.94438,0.26595,-0.66824,1.0,0.8156,-0.75
11635.spec_hrs_snr1000.0.npy,7.28254,3.24245,0.01626,-0.00246,1.96316,10.6734,0,0.06884,-0.28619,0.01823,-0.28483,0.16588,0.07982,0.18535,0.12428,-0.08495,0.03494,0.14156
3746.spec_hrs_snr1000.0.npy,5.06923,3.46804,-0.0771,-3.92241,1.52139,4.46284,0,-0.65343,1.25,-0.17873,0.2722,-0.3,-1.49901,0.51905,-0.28459,-1.1676,0.25693,0.32365
8767.spec_hrs_snr1000.0.npy,4.50577,4.43595,0.0978,-3.76181,0.81043,1.42806,0,0.14789,1.24999,1.0,0.49539,1.0,2.0,0.17255,-0.70825,-1.5,1.0,0.5
6923.spec_hrs_snr1000.0.npy,5.62365,4.48931,-0.01319,-3.99713,1.83011,2.53305,0,-0.14003,1.24967,-2.0,0.37392,1.0,-1.5,0.23226,0.25437,0.17501,0.35442,0.5
8397.spec_hrs_snr1000.0.npy,5.05552,4.76332,0.09999,-3.91424,0.52813,1.42806,0,1.03478,1.16107,-2.0,0.53904,0.62633,2.0,-0.49984,-0.21501,-0.36839,0.21832,0.28806
8041.spec_hrs_snr1000.0.npy,6.40043,3.82534,-0.00828,-2.25745,0.64174,1.65879,0,0.61817,0.32016,-1.28293,0.55199,-0.3,1.4218,0.16945,-0.59011,-0.71412,0.62753,-0.75
16099.spec_hrs_snr1000.0.npy,6.68401,4.15856,-0.07165,-0.96976,1.2451,29.6298,0,0.64479,0.44546,-0.01968,-0.0028,0.54364,-0.10253,0.25691,-0.43277,-0.59363,0.18603,0.08638
8935.spec_hrs_snr1000.0.npy,4.45529,3.28639,0.03794,-2.65351,0.79548,1.42806,0,0.11775,-0.03073,-0.89288,0.26207,0.32539,1.64369,0.71488,-0.14283,0.36978,0.54802,0.3363
6239.spec_hrs_snr1000.0.npy,4.80444,2.62008,-0.01976,-2.04971,0.82252,1.42809,0,0.13976,0.31925,-0.13724,0.36542,0.06611,0.81221,0.72515,0.09415,1.0,0.96975,-0.33798
13372.spec_hrs_snr1000.0.npy,4.78703,0.53691,0.09999,-0.24144,1.45452,56.63512,0,0.24909,0.41226,1.0,0.2438,0.73541,0.92467,0.50095,0.48663,-1.26453,0.61499,-0.69428
12100.spec_hrs_snr1000.0.npy,4.76602,4.70514,0.1,-1.80353,0.55063,5.28873,0,0.87044,0.25034,-0.75171,0.31596,0.39465,2.0,0.09655,0.14251,0.51903,0.16256,-0.06547
18803.spec_hrs_snr1000.0.npy,5.50192,3.70713,0.00491,-1.73015,0.50527,3.04118,0,0.73446,-0.05456,-0.1737,0.34236,-0.02402,-0.07708,0.7907,-0.36389,0.86945,0.87587,0.08917
7940.spec_hrs_snr1000.0.npy,7.02042,2.5931,-0.06196,-2.38185,0.50002,5.71019,0,2.0,0.90475,-2.0,0.63495,0.20034,0.27842,-0.03603,-0.14541,-1.13138,0.22808,-0.75
10941.spec_hrs_snr1000.0.npy,4.07744,0.38274,0.043,0.26766,1.27849,14.76754,0,0.1932,0.01196,-0.18943,0.00272,0.41762,0.70342,0.38179,0.02174,-0.59763,0.76564,-0.75
6053.spec_hrs_snr1000.0.npy,5.71924,4.25533,-0.09688,-3.99895,0.50012,10.42403,0,0.51356,1.24997,-2.0,0.34106,1.0,-0.49739,-0.44372,-0.50498,-0.03565,-0.5,0.5
11463.spec_hrs_snr1000.0.npy,5.49502,2.85017,-0.0552,-1.288,0.86869,10.00351,0,0.09011,0.68479,0.65291,0.07755,0.08473,-0.16227,0.14317,-0.51896,0.39047,0.28997,-0.13392
15547.spec_hrs_snr1000.0.npy,7.13362,3.60053,-0.05749,-1.08164,1.20103,11.922,0,-0.11711,0.78634,0.22617,0.12432,-0.15697,-0.03799,0.46586,-0.72696,0.24531,0.11612,0.11476
14630.spec_hrs_snr1000.0.npy,6.27106,1.21382,0.02267,0.4999,1.80988,6.85652,0,0.29899,-0.03124,-0.67942,-0.3,0.12185,0.31058,-0.13039,-0.1982,0.11037,0.03359,-0.01208
12074.spec_hrs_snr1000.0.npy,6.44481,4.32982,-0.09999,-1.85662,0.50008,36.46594,0,1.23943,0.58746,0.0,0.55093,-0.3,2.0,-0.09288,-0.19071,-0.65261,0.38392,0.08914
8030.spec_hrs_snr1000.0.npy,6.07879,3.53188,-0.1,-3.99883,0.50172,31.62017,0,0.57158,-0.43757,-1.18716,0.20627,1.0,1.45038,-0.49985,-1.0,1.0,0.44859,-0.24759
10134.spec_hrs_snr1000.0.npy,6.11119,2.8892,-0.09993,-1.20481,1.19061,20.26075,0,0.62492,0.82742,0.21093,0.11872,-0.08858,-0.53867,0.27164,-0.07936,-0.64783,0.17657,-0.07262
14569.spec_hrs_snr1000.0.npy,6.56013,4.56982,0.02083,-0.70301,1.62128,1.42806,0,1.09493,0.24153,0.13172,0.39326,0.03778,0.09349,0.2129,-0.34444,0.37005,-0.01499,-0.11004
3921.spec_hrs_snr1000.0.npy,6.15219,2.66344,-0.074,-2.43268,1.23199,3.69663,0,1.22105,0.58423,-1.02175,0.03926,0.808,-1.26028,0.68974,-0.95357,-0.39431,0.46434,-0.18079
17085.spec_hrs_snr1000.0.npy,5.79032,2.59516,-0.02757,-0.80717,1.26337,11.16112,0,-0.48008,0.17785,-0.01693,0.21486,0.04694,-0.10205,-0.07408,-0.42102,0.26251,0.26846,-0.19059
11784.spec_hrs_snr1000.0.npy,4.76356,2.50132,0.00262,-1.14236,0.52508,3.92361,0,1.6722,0.27974,-0.60817,0.22557,0.57277,0.36607,-0.08775,0.5,1.0,0.08191,-0.75
9668.spec_hrs_snr1000.0.npy,6.05359,2.03035,-0.02098,-2.76309,1.69078,1.42854,0,1.32098,-0.49989,-1.34088,0.00374,1.0,0.97361,-0.10713,-0.59098,0.12114,0.45563,-0.36231
11432.spec_hrs_snr1000.0.npy,4.94019,1.89958,0.0287,-0.52821,1.51734,11.67343,0,0.10978,-0.07127,-1.0144,0.21051,0.08598,1.1254,0.04808,0.13858,0.49795,0.02617,-0.02508
17012.spec_hrs_snr1000.0.npy,5.45059,2.32663,0.02661,-1.20014,1.21783,6.01694,0,0.08526,0.41777,0.31816,0.24075,0.3213,0.66505,0.26975,-0.23963,0.13991,0.02518,-0.18506
10607.spec_hrs_snr1000.0.npy,5.43628,4.11698,-0.09999,-0.33811,1.16847,51.2669,0,0.0472,1.25,0.62625,-0.19276,0.53365,2.0,0.3247,0.0743,0.80948,1.0,-0.75
553.spec_hrs_snr1000.0.npy,4.73375,4.14422,0.1,-4.0,0.5,6.96003,0,2.0,0.0,-2.0,-0.03236,0.52442,1.02642,0.01666,0.01793,0.02013,0.24549,0.25702
19471.spec_hrs_snr1000.0.npy,6.57736,3.76245,-0.01717,0.3244,0.96451,1.42806,0,0.13864,0.74741,0.13246,0.03961,0.1271,0.14389,-0.18385,-0.21654,-0.01257,0.21538,-0.17805
992.spec_hrs_snr1000.0.npy,6.32866,3.73774,-0.09265,-3.3758,2.63418,2.88315,0,-0.6679,-0.49997,-0.07582,0.07178,0.73455,1.26086,0.52663,-0.48351,-0.03914,0.00021,0.08333
14532.spec_hrs_snr1000.0.npy,5.03373,2.99907,-0.01475,-1.87997,1.6784,5.94479,0,-0.03574,-0.25396,1.0,-0.26213,0.17745,-0.38382,0.48083,-0.45984,-0.16374,0.36055,-0.61721
4184.spec_hrs_snr1000.0.npy,6.03852,2.84995,0.02553,-2.79182,1.93133,2.32655,0,0.15938,-0.49954,-0.50727,0.40067,0.25535,1.14504,0.27613,-0.31755,-1.5,0.03583,-0.74998
6219.spec_hrs_snr1000.0.npy,4.82481,2.1918,0.09941,-3.3111,1.28176,3.04684,0,0.99456,-0.49996,-0.55449,-0.14828,0.86301,-1.5,-0.25607,-0.58152,0.51587,0.71884,-0.75
4664.spec_hrs_snr1000.0.npy,5.57802,3.12185,-0.00484,-3.4162,0.77021,2.52885,0,1.18931,1.24999,-1.5256,0.26445,0.23397,-1.5,-0.10306,-0.69061,-0.10049,0.63493,-0.11637
13981.spec_hrs_snr1000.0.npy,7.38627,3.30327,0.01145,-0.41691,0.99602,5.11886,0,0.56015,0.07942,-0.70096,0.26464,0.49644,0.35478,0.52946,-0.31456,0.31586,0.27429,0.14105
7512.spec_hrs_snr1000.0.npy,7.10938,4.11221,0.09993,-3.89603,0.58237,30.52981,0,0.10114,1.24519,-2.0,0.24411,-0.3,0.67541,-0.5,-0.8987,0.0,0.39861,-0.75
17165.spec_hrs_snr1000.0.npy,5.13554,3.07961,0.00542,-1.21423,1.16962,10.73656,0,0.1897,0.36485,0.86033,0.0255,0.66203,1.19529,0.31211,-0.22661,0.44776,0.22056,-0.75
10513.spec_hrs_snr1000.0.npy,5.15998,4.12149,0.05175,-0.92526,0.90892,1.48027,0,0.93762,0.07222,0.33484,-0.10015,0.33819,1.00396,0.62969,-0.10459,0.24437,1.0,0.47596
17894.spec_hrs_snr1000.0.npy,6.64425,3.89021,-0.1,-0.95998,0.55707,52.55177,0,-0.78187,1.25,0.22887,-0.03086,0.11141,-0.4799,-0.15849,-0.17867,0.28081,-0.14485,-0.75
6617.spec_hrs_snr1000.0.npy,6.44675,3.38097,-0.07604,-3.13231,1.19931,1.42806,0,0.48296,-0.30238,-1.69777,0.35205,0.39483,2.0,-0.25041,-0.76645,-0.28553,0.52788,0.03654
14107.spec_hrs_snr1000.0.npy,6.91079,4.28392,-0.065,-0.75077,1.15903,11.64691,0,0.28618,0.70422,0.40313,0.23637,-0.3,-0.14415,0.18309,-0.37256,-0.01095,0.15221,-0.35356
