#wavelength_payne flux_payne
3926.097399 0.982101
3926.111798 0.976766
3926.126197 0.977202
3926.140596 0.977644
3926.154996 0.978099
3926.169395 0.978567
3926.183795 0.979035
3926.198194 0.979437
3926.212594 0.979711
3926.226993 0.979928
3926.241393 0.980105
3926.255793 0.980168
3926.270193 0.980132
3926.284592 0.980064
3926.298992 0.979962
3926.313392 0.979796
3926.327792 0.979602
3926.342192 0.979398
3926.356592 0.979162
3926.370993 0.978902
3926.385393 0.978642
3926.399793 0.978419
3926.414193 0.978257
3926.428594 0.978121
3926.442994 0.978015
3926.457395 0.977983
3926.471795 0.978006
3926.486196 0.978053
3926.500596 0.978164
3926.514997 0.978371
3926.529398 0.978617
3926.543799 0.978851
3926.558199 0.979054
3926.572600 0.979236
3926.587001 0.979411
3926.601402 0.979574
3926.615803 0.979719
3926.630204 0.979857
3926.644605 0.979961
3926.659007 0.979983
3926.673408 0.979955
3926.687809 0.979912
3926.702211 0.979836
3926.716612 0.979719
3926.731014 0.979588
3926.745415 0.979426
3926.759817 0.979193
3926.774218 0.978920
3926.788620 0.978646
3926.803022 0.978384
3926.817423 0.978136
3926.831825 0.977893
3926.846227 0.977655
3926.860629 0.977428
3926.875031 0.977206
3926.889433 0.977007
3926.903835 0.976879
3926.918238 0.976827
3926.932640 0.976800
3926.947042 0.976793
3926.961444 0.976829
3926.975847 0.976887
3926.990249 0.976943
3927.004652 0.976994
3927.019054 0.977041
3927.033457 0.977086
3927.047859 0.977128
3927.062262 0.977164
3927.076665 0.977197
3927.091068 0.977225
3927.105470 0.977234
3927.119873 0.977227
3927.134276 0.977215
3927.148679 0.977202
3927.163082 0.977189
3927.177485 0.977176
3927.191889 0.977158
3927.206292 0.977123
3927.220695 0.977074
3927.235098 0.977020
3927.249502 0.976946
3927.263905 0.976838
3927.278309 0.976717
3927.292712 0.976588
3927.307116 0.976437
3927.321519 0.976270
3927.335923 0.976098
3927.350327 0.975924
3927.364731 0.975746
3927.379135 0.975566
3927.393538 0.975370
3927.407942 0.975135
3927.422346 0.974873
3927.436750 0.974598
3927.451155 0.974287
3927.465559 0.973926
3927.479963 0.973545
3927.494367 0.973091
3927.508772 0.972460
3927.523176 0.971717
3927.537580 0.970897
3927.551985 0.969825
3927.566389 0.968427
3927.580794 0.966905
3927.595199 0.964673
3927.609603 0.960771
3927.624008 0.955881
3927.638413 0.950575
3927.652818 0.944192
3927.667223 0.936541
3927.681628 0.928439
3927.696033 0.917679
3927.710438 0.900902
3927.724843 0.880932
3927.739248 0.859974
3927.753653 0.836460
3927.768058 0.810157
3927.782464 0.782913
3927.796869 0.754444
3927.811275 0.723273
3927.825680 0.690786
3927.840086 0.660272
3927.854491 0.636210
3927.868897 0.618673
3927.883303 0.603328
3927.897708 0.591377
3927.912114 0.586367
3927.926520 0.584502
3927.940926 0.585399
3927.955332 0.594454
3927.969738 0.610965
3927.984144 0.629750
3927.998550 0.649963
3928.012956 0.672859
3928.027362 0.696939
3928.041769 0.720733
3928.056175 0.743727
3928.070581 0.766043
3928.084988 0.787830
3928.099394 0.806690
3928.113801 0.820494
3928.128208 0.832129
3928.142614 0.842923
3928.157021 0.851497
3928.171428 0.858376
3928.185834 0.864726
3928.200241 0.870262
3928.214648 0.874536
3928.229055 0.878291
3928.243462 0.881960
3928.257869 0.885410
3928.272276 0.888705
3928.286684 0.892005
3928.301091 0.895488
3928.315498 0.899234
3928.329905 0.903083
3928.344313 0.907076
3928.358720 0.911420
3928.373128 0.915993
3928.387535 0.920537
3928.401943 0.924795
3928.416351 0.928684
3928.430758 0.932436
3928.445166 0.936076
3928.459574 0.939457
3928.473982 0.942687
3928.488390 0.945750
3928.502798 0.948255
3928.517206 0.950094
3928.531614 0.951695
3928.546022 0.953084
3928.560430 0.953994
3928.574838 0.954647
3928.589247 0.955236
3928.603655 0.955676
3928.618063 0.955953
3928.632472 0.956174
3928.646880 0.956403
3928.661289 0.956651
3928.675697 0.956907
3928.690106 0.957174
3928.704515 0.957473
3928.718924 0.957805
3928.733332 0.958147
3928.747741 0.958499
3928.762150 0.958869
3928.776559 0.959249
