# wavelength_payne flux_payne
3926.097497 0.985804
3926.111896 0.981833
3926.126295 0.978629
3926.140694 0.976724
3926.155094 0.977150
3926.169493 0.977556
3926.183893 0.977929
3926.198292 0.978261
3926.212692 0.978532
3926.227091 0.978726
3926.241491 0.978840
3926.255891 0.978882
3926.270290 0.978864
3926.284690 0.978784
3926.299090 0.978652
3926.313490 0.978483
3926.327890 0.978286
3926.342290 0.978064
3926.356690 0.977826
3926.371090 0.977592
3926.385491 0.977370
3926.399891 0.977166
3926.414291 0.976994
3926.428692 0.976867
3926.443092 0.976787
3926.457492 0.976752
3926.471893 0.976770
3926.486294 0.976846
3926.500694 0.976977
3926.515095 0.977145
3926.529496 0.977338
3926.543896 0.977548
3926.558297 0.977759
3926.572698 0.977953
3926.587099 0.978129
3926.601500 0.978289
3926.615901 0.978425
3926.630302 0.978531
3926.644703 0.978602
3926.659105 0.978636
3926.673506 0.978630
3926.687907 0.978584
3926.702309 0.978505
3926.716710 0.978393
3926.731111 0.978246
3926.745513 0.978062
3926.759915 0.977847
3926.774316 0.977612
3926.788718 0.977361
3926.803120 0.977102
3926.817521 0.976850
3926.831923 0.976607
3926.846325 0.976374
3926.860727 0.976154
3926.875129 0.975961
3926.889531 0.975800
3926.903933 0.975673
3926.918335 0.975588
3926.932738 0.975544
3926.947140 0.975537
3926.961542 0.975555
3926.975945 0.975586
3926.990347 0.975629
3927.004750 0.975677
3927.019152 0.975721
3927.033555 0.975761
3927.047957 0.975795
3927.062360 0.975823
3927.076763 0.975841
3927.091165 0.975849
3927.105568 0.975847
3927.119971 0.975837
3927.134374 0.975820
3927.148777 0.975799
3927.163180 0.975772
3927.177583 0.975741
3927.191987 0.975703
3927.206390 0.975656
3927.220793 0.975596
3927.235196 0.975519
3927.249600 0.975427
3927.264003 0.975317
3927.278407 0.975191
3927.292810 0.975048
3927.307214 0.974891
3927.321617 0.974725
3927.336021 0.974550
3927.350425 0.974369
3927.364829 0.974179
3927.379232 0.973975
3927.393636 0.973756
3927.408040 0.973517
3927.422444 0.973251
3927.436848 0.972956
3927.451253 0.972632
3927.465657 0.972261
3927.480061 0.971823
3927.494465 0.971312
3927.508869 0.970707
3927.523274 0.969962
3927.537678 0.969054
3927.552083 0.967985
3927.566487 0.966520
3927.580892 0.964490
3927.595297 0.961815
3927.609701 0.958394
3927.624106 0.954068
3927.638511 0.948799
3927.652916 0.942680
3927.667321 0.935008
3927.681726 0.925254
3927.696131 0.913181
